,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Evanston Civic Center,42.057044,-87.686554,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Evanston Civic Center, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Evanston Civic Center, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Evanston Civic Center, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Evanston Civic Center, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Evanston Civic Center, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Evanston Civic Center, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Evanston Civic Center, dtype: int64"
Dodge Ave & Mulford St,42.023463,-87.699595,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Dodge Ave & Mulford St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Dodge Ave & Mulford St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Dodge Ave & Mulford St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Dodge Ave & Mulford St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Dodge Ave & Mulford St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Dodge Ave & Mulford St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Dodge Ave & Mulford St, dtype: int64"
Lincolnwood Dr & Central St,42.064854,-87.715297,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Lincolnwood Dr & Central St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Lincolnwood Dr & Central St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Lincolnwood Dr & Central St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Lincolnwood Dr & Central St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Lincolnwood Dr & Central St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Lincolnwood Dr & Central St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Lincolnwood Dr & Central St, dtype: int64"
Leavitt St & Belmont Ave,41.939354,-87.683282,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Leavitt St & Belmont Ave, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Leavitt St & Belmont Ave, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Leavitt St & Belmont Ave, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Leavitt St & Belmont Ave, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Leavitt St & Belmont Ave, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Leavitt St & Belmont Ave, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Leavitt St & Belmont Ave, dtype: int64"
South Chicago Ave & Elliot Ave,41.747363,-87.580046,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: South Chicago Ave & Elliot Ave, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: South Chicago Ave & Elliot Ave, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: South Chicago Ave & Elliot Ave, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: South Chicago Ave & Elliot Ave, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: South Chicago Ave & Elliot Ave, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: South Chicago Ave & Elliot Ave, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: South Chicago Ave & Elliot Ave, dtype: int64"
Cherry Ave & Blackhawk St,41.907221,-87.655618,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"Mon Oct  4 10:10:00 2021    13
Name: Cherry Ave & Blackhawk St, dtype: int64","Mon Oct  4 10:11:05 2021    13
Name: Cherry Ave & Blackhawk St, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: Cherry Ave & Blackhawk St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Cherry Ave & Blackhawk St, dtype: int64","Mon Oct  4 10:14:19 2021    9
Name: Cherry Ave & Blackhawk St, dtype: int64","Mon Oct  4 10:15:24 2021    9
Name: Cherry Ave & Blackhawk St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Cherry Ave & Blackhawk St, dtype: int64"
Franklin St & Illinois St,41.891023,-87.635479,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Franklin St & Illinois St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Franklin St & Illinois St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Franklin St & Illinois St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Franklin St & Illinois St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Franklin St & Illinois St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Franklin St & Illinois St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Franklin St & Illinois St, dtype: int64"
Lincoln Park Conservatory,41.923931,-87.635824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Lincoln Park Conservatory, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Lincoln Park Conservatory, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Lincoln Park Conservatory, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Lincoln Park Conservatory, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Lincoln Park Conservatory, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Lincoln Park Conservatory, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Lincoln Park Conservatory, dtype: int64"
Michigan Ave & 71st St,41.765286,-87.621748,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Michigan Ave & 71st St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Michigan Ave & 71st St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Michigan Ave & 71st St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Michigan Ave & 71st St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Michigan Ave & 71st St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Michigan Ave & 71st St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Michigan Ave & 71st St, dtype: int64"
Stewart Ave & 83rd St,41.743717,-87.634088,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Stewart Ave & 83rd St, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Stewart Ave & 83rd St, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Stewart Ave & 83rd St, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Stewart Ave & 83rd St, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Stewart Ave & 83rd St, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Stewart Ave & 83rd St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Stewart Ave & 83rd St, dtype: int64"
Halsted St & 73rd St,41.761605,-87.64416,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Halsted St & 73rd St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Halsted St & 73rd St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Halsted St & 73rd St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Halsted St & 73rd St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Halsted St & 73rd St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Halsted St & 73rd St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Halsted St & 73rd St, dtype: int64"
Ashland Ave & 74th St,41.759236,-87.663474,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Ashland Ave & 74th St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Ashland Ave & 74th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Ashland Ave & 74th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Ashland Ave & 74th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Ashland Ave & 74th St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Ashland Ave & 74th St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Ashland Ave & 74th St, dtype: int64"
Halsted St & 78th St,41.752487,-87.643902,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Halsted St & 78th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Halsted St & 78th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Halsted St & 78th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Halsted St & 78th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Halsted St & 78th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Halsted St & 78th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Halsted St & 78th St, dtype: int64"
Eberhart Ave & 91st St,41.729285,-87.611031,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Eberhart Ave & 91st St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Eberhart Ave & 91st St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Eberhart Ave & 91st St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Eberhart Ave & 91st St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Eberhart Ave & 91st St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Eberhart Ave & 91st St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Eberhart Ave & 91st St, dtype: int64"
Ashland Ave & 78th St,41.752204,-87.663699,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Ashland Ave & 78th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Ashland Ave & 78th St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Ashland Ave & 78th St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Ashland Ave & 78th St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Ashland Ave & 78th St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Ashland Ave & 78th St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Ashland Ave & 78th St, dtype: int64"
Prospect Sq & 91st St,41.728233,-87.667523,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Prospect Sq & 91st St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Prospect Sq & 91st St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Prospect Sq & 91st St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Prospect Sq & 91st St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Prospect Sq & 91st St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Prospect Sq & 91st St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Prospect Sq & 91st St, dtype: int64"
Summit Ave & 86th St,41.737848,-87.644899,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Summit Ave & 86th St, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Summit Ave & 86th St, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Summit Ave & 86th St, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Summit Ave & 86th St, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Summit Ave & 86th St, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Summit Ave & 86th St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Summit Ave & 86th St, dtype: int64"
East End Ave & 87th St,41.736815,-87.582801,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: East End Ave & 87th St, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: East End Ave & 87th St, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: East End Ave & 87th St, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: East End Ave & 87th St, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: East End Ave & 87th St, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: East End Ave & 87th St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: East End Ave & 87th St, dtype: int64"
Loomis Blvd & 84th St,41.741486,-87.65841,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Loomis Blvd & 84th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Loomis Blvd & 84th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Loomis Blvd & 84th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Loomis Blvd & 84th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Loomis Blvd & 84th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Loomis Blvd & 84th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Loomis Blvd & 84th St, dtype: int64"
Elizabeth St & 92nd St,41.726798,-87.65429,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Elizabeth St & 92nd St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Elizabeth St & 92nd St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Elizabeth St & 92nd St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Elizabeth St & 92nd St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Elizabeth St & 92nd St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Elizabeth St & 92nd St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Elizabeth St & 92nd St, dtype: int64"
State St & 95th St,41.721849,-87.622854,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: State St & 95th St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: State St & 95th St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: State St & 95th St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: State St & 95th St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: State St & 95th St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: State St & 95th St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: State St & 95th St, dtype: int64"
Eggleston Ave & 92nd St,41.727575,-87.634828,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Mon Oct  4 10:10:00 2021    9
Name: Eggleston Ave & 92nd St, dtype: int64","Mon Oct  4 10:11:05 2021    9
Name: Eggleston Ave & 92nd St, dtype: int64","Mon Oct  4 10:12:09 2021    9
Name: Eggleston Ave & 92nd St, dtype: int64","Mon Oct  4 10:13:13 2021    9
Name: Eggleston Ave & 92nd St, dtype: int64","Mon Oct  4 10:14:19 2021    9
Name: Eggleston Ave & 92nd St, dtype: int64","Mon Oct  4 10:15:24 2021    9
Name: Eggleston Ave & 92nd St, dtype: int64","Mon Oct  4 10:16:30 2021    9
Name: Eggleston Ave & 92nd St, dtype: int64"
Marquette Ave & 89th St,41.733668,-87.558342,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Marquette Ave & 89th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Marquette Ave & 89th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Marquette Ave & 89th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Marquette Ave & 89th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Marquette Ave & 89th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Marquette Ave & 89th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Marquette Ave & 89th St, dtype: int64"
Baltimore Ave & 87th St,41.737335,-87.548514,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"Mon Oct  4 10:10:00 2021    14
Name: Baltimore Ave & 87th St, dtype: int64","Mon Oct  4 10:11:05 2021    14
Name: Baltimore Ave & 87th St, dtype: int64","Mon Oct  4 10:12:09 2021    14
Name: Baltimore Ave & 87th St, dtype: int64","Mon Oct  4 10:13:13 2021    14
Name: Baltimore Ave & 87th St, dtype: int64","Mon Oct  4 10:14:19 2021    14
Name: Baltimore Ave & 87th St, dtype: int64","Mon Oct  4 10:15:24 2021    14
Name: Baltimore Ave & 87th St, dtype: int64","Mon Oct  4 10:16:30 2021    14
Name: Baltimore Ave & 87th St, dtype: int64"
Houston Ave & 92nd St,41.728204,-87.5497,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Houston Ave & 92nd St, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Houston Ave & 92nd St, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Houston Ave & 92nd St, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Houston Ave & 92nd St, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Houston Ave & 92nd St, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Houston Ave & 92nd St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Houston Ave & 92nd St, dtype: int64"
Dauphin Ave & 103rd St,41.70725,-87.607662,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Dauphin Ave & 103rd St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Dauphin Ave & 103rd St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Dauphin Ave & 103rd St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Dauphin Ave & 103rd St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Dauphin Ave & 103rd St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Dauphin Ave & 103rd St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Dauphin Ave & 103rd St, dtype: int64"
Indiana Ave & 103rd St,41.70717,-87.618471,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Indiana Ave & 103rd St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Indiana Ave & 103rd St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Indiana Ave & 103rd St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Indiana Ave & 103rd St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Indiana Ave & 103rd St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Indiana Ave & 103rd St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Indiana Ave & 103rd St, dtype: int64"
